城市,毕业时间,学历,本科,职位,月薪,月份
北京,2017,本科,2级,后端,14000,13
上海,2017,本科,2级,爬虫,11000,14
北京,2018,本科,1级,后端,7500,12
广东,2016,本科以下,1级,后端,4500,6
广东,2018,本科,2级,后端,5500,13
江苏,2018,本科,2级,爬虫,8000,14
广东,2016,本科以下,1级,游戏（客户端开发）,6500,12
广东,2018,本科,1级,算法,18000,14
广东,2018,本科,2级,前端,9000,15
北京,2016,本科,1级,后端,6800,13
北京,2018,本科,2级,后端,11000,13
北京,2018,本科,1级,后端,4000,12
山东,2017,本科,2级,后端,5000,14
上海,2018,本科,1级,爬虫,6500,1
山东,2019,本科,2级,软件开发/基础架构开发,11700,13
湖南,2018,本科,3级,后端,5000,13
浙江,2017,本科,3级,系统开发,20000,16
北京,2018,本科,2级,后端,10000,12
山东,2016,本科,1级,后端,5000,12
江苏,2019,本科以下,1级,Android,5000,1
四川,2017,本科,1级,软件开发/基础架构开发,4000,12
浙江,2019,本科,1级,后端,6000,12
四川,2017,本科,1级,后端,14000,12
河北,2018,本科,1级,后端,4000,13
北京,2018,本科,1级,爬虫,11000,12
浙江,2017,本科,3级,软件开发/基础架构开发,7000,13
北京,2018,本科,3级,IOS,24000,16
北京,2018,本科,2级,大数据,11000,14
江苏,2016,本科,3级,软件开发/基础架构开发,4500,14
浙江,2017,本科,2级,后端,8000,12
江苏,2016,本科,1级,前端,4000,12
北京,2017,本科,2级,前端,15000,13
广东,2016,本科,1级,前端,4000,20
北京,2017,本科,2级,前端,25000,12
安徽,2019,本科,1级,前端,4500,12
重庆,2017,本科,2级,前端,8000,15
广东,2017,本科,1级,后端,9000,13
上海,2017,本科,2级,后端,6500,12
上海,2016,硕士,3级,前端,12500,30
江苏,2016,本科,2级,后端,5000,13
北京,2016,硕士,3级,软件开发/基础架构开发,17000,12
北京,2018,本科,1级,后端,16000,12
北京,2017,本科,1级,后端,9500,12
浙江,2019,本科,3级,测试,13500,16
北京,2018,本科,2级,后端,7000,15
河南,2019,本科,2级,后端,7500,13
湖北,2019,本科,2级,前端,5000,13
北京,2018,本科,2级,后端,12000,12
上海,2018,本科以下,1级,后端,10000,12
广东,2018,本科以下,2级,前端,8000,12
广东,2018,本科,2级,前端,10000,15
北京,2019,本科,3级,后端,7000,12
浙江,2018,本科,1级,算法,15000,12
广东,2017,本科以下,2级,其他,9000,13
广东,2018,本科,1级,后端,5500,12
浙江,2018,本科,1级,前端,6000,12
北京,2019,本科,2级,游戏（客户端开发）,10000,13
福建,2018,本科,3级,后端,12000,14
内蒙古,2018,硕士,2级,前端,8000,13
上海,2018,本科,2级,后端,6500,13
广东,2016,本科,2级,大数据,14000,12
广东,2017,硕士,1级,大数据,10000,13
上海,2019,本科,2级,后端,10000,12
北京,2017,本科,1级,后端,6000,13
